Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-101,600000,75,PARIS 01,75001,29 RUE DU PONT NEUF,Appartement,2,39,48.8609277372284,2.34459521879477,15385,3167,350106.31,48000.0,1222,1.47
31,75-101,385000,75,PARIS 01,75001,35 RUE DE RICHELIEU,Appartement,2,50,48.8654015419763,2.33658932046492,7700,2032,224651.55,30800.0,1567,2.94
31,75-101,470000,75,PARIS 01,75001,14 RUE SAUVAL,Appartement,2,41,48.8619883865042,2.34267269521741,11463,2481,274249.94,37600.0,1285,1.97
31,75-101,435000,75,PARIS 01,75001,17 RUE MONTMARTRE,Appartement,3,50,48.8644643392503,2.34502736610511,8700,2296,253827.08,34800.0,1567,2.6
31,75-101,820000,75,PARIS 01,75001,3 IMP GOMBOUST,Appartement,3,45,48.8675681977805,2.33125164459631,18222,4328,478478.63,65600.0,1410,1.24
31,75-101,321800,75,PARIS 01,75001,111 RUE SAINT-DENIS,Appartement,2,30,48.862754006345,2.34944496147974,10727,1699,187773.69,25744.0,940,2.11
31,75-101,790000,75,PARIS 01,75001,18 RUE PIERRE LESCOT,Appartement,3,62,48.8625837385091,2.3487953147893,12742,4170,460973.31,63200.0,1943,1.77
31,75-101,625000,75,PARIS 01,75001,8 RUE DE LA PETITE TRUANDERIE,Appartement,2,50,48.8627784568602,2.34837256023262,12500,3299,364694.08,50000.0,1567,1.81
31,75-101,277000,75,PARIS 01,75001,43 RUE DE RICHELIEU,Appartement,2,27,48.8661350465661,2.33677044791106,10259,1462,161632.41,22160.0,846,2.2
31,75-101,900000,75,PARIS 01,75001,2 RUE SAINT-HONORE,Appartement,3,77,48.8609328843188,2.34647431326216,11688,4751,525159.47,72000.0,2413,1.93
31,75-101,883500,75,PARIS 01,75001,4 RUE SAINT-ROCH,Appartement,2,45,48.864254775104,2.33173051769277,19633,4663,515531.55,70680.0,1410,1.15
31,75-101,420000,75,PARIS 01,75001,127 RUE SAINT-DENIS,Appartement,2,39,48.8632207039853,2.34955336558689,10769,2217,245074.42,33600.0,1222,2.1
31,75-101,755500,75,PARIS 01,75001,344 RUE SAINT-HONORE,Appartement,2,57,48.8660914502454,2.3300930947441,13254,3988,440842.2,60440.0,1787,1.71
31,75-101,410800,75,PARIS 01,75001,6 RUE VILLEDO,Appartement,2,29,48.8663646014998,2.33636976084881,14166,2168,239706.12,32864.0,909,1.6
31,75-101,716100,75,PARIS 01,75001,44 RUE SAINT-DENIS,Appartement,3,83,48.8605434576908,2.34877954093263,8628,3780,417851.88,57288.0,2602,2.62
31,75-101,862500,75,PARIS 01,75001,44 RUE SAINT-DENIS,Appartement,3,83,48.8605434576908,2.34877954093263,10392,4553,503277.82,69000.0,2602,2.18
31,75-101,740000,75,PARIS 01,75001,11 RUE BERTIN POIREE,Appartement,2,47,48.8589121159007,2.34443341385697,15745,3906,431797.79,59200.0,1473,1.44
31,75-101,300000,75,PARIS 01,75001,15 RUE DU LOUVRE,Appartement,2,28,48.8635592887927,2.34148014098889,10714,1584,175053.16,24000.0,878,2.11
31,75-101,518000,75,PARIS 01,75001,12 RUE D ALGER,Appartement,3,51,48.8653626556918,2.33006068197327,10157,2734,302258.45,41440.0,1599,2.23
31,75-101,780000,75,PARIS 01,75001,2 RUE DES HALLES,Appartement,4,81,48.859119268056,2.34752148775634,9630,4117,455138.21,62400.0,2539,2.35
31,75-101,800000,75,PARIS 01,75001,19 PL DAUPHINE,Appartement,2,56,48.8565231476015,2.34203351116218,14286,4223,466808.42,64000.0,1755,1.58
31,75-101,442330,75,PARIS 01,75001,16 RUE SAINT-ROCH,Appartement,2,55,48.8647067893013,2.3319445271476,8042,2335,258104.21,35386.4,1724,2.81
31,75-101,700000,75,PARIS 01,75001,9 RUE VAUVILLIERS,Appartement,2,67,48.8617824647948,2.34310427208361,10448,3695,408457.36,56000.0,2100,2.16
31,75-101,385000,75,PARIS 01,75001,156 RUE SAINT-HONORE,Appartement,2,56,48.8620791109996,2.34000339239276,6875,2032,224651.55,30800.0,1755,3.29
31,75-101,435000,75,PARIS 01,75001,12 RUE DE LA FERRONNERIE,Appartement,2,25,48.8604669179764,2.3467827296465,17400,2296,253827.08,34800.0,784,1.3
31,75-101,821800,75,PARIS 01,75001,14 RUE DE TURBIGO,Appartement,3,52,48.8636094147359,2.34880527751584,15804,4338,479528.95,65744.0,1630,1.43
31,75-101,983700,75,PARIS 01,75001,19 PL DAUPHINE,Appartement,2,51,48.8565231476015,2.34203351116218,19288,5192,573999.3,78696.0,1599,1.17
31,75-101,677650,75,PARIS 01,75001,106 RUE SAINT-HONORE,Appartement,2,59,48.8617900045765,2.34195512051624,11486,3577,395415.9,54212.0,1849,1.97
31,75-101,432000,75,PARIS 01,75001,14 RUE BERTIN POIREE,Appartement,2,25,48.8588124132406,2.34503173829499,17280,2280,252076.55,34560.0,784,1.31
31,75-101,400000,75,PARIS 01,75001,129 RUE SAINT-DENIS,Appartement,2,40,48.8632736690456,2.34957328981725,10000,2111,233404.21,32000.0,1254,2.26
31,75-101,296000,75,PARIS 01,75001,4B PL SAINTE OPPORTUNE,Appartement,2,27,48.859542856873,2.3473941599089,10963,1562,172719.11,23680.0,846,2.06
31,75-101,700500,75,PARIS 01,75001,73 RUE SAINT-DENIS,Appartement,2,70,48.8616793422353,2.34878297678546,10007,3697,408749.12,56040.0,2194,2.26
31,75-101,557143,75,PARIS 01,75001,37 RUE SAINTE-ANNE,Appartement,2,50,48.8664415023816,2.33542607266803,11143,2941,325098.8,44571.44,1567,2.03
31,75-101,320000,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,3,42,48.8653185001806,2.33041429007133,7619,1689,186723.37,25600.0,1316,2.97
31,75-101,555000,75,PARIS 01,75001,9 RUE DES HALLES,Appartement,2,42,48.8597052048902,2.34641841990109,13214,2929,323848.34,44400.0,1316,1.71
31,75-101,660000,75,PARIS 01,75001,344 RUE SAINT-HONORE,Appartement,2,57,48.8660914502454,2.3300930947441,11579,3484,385116.94,52800.0,1787,1.95
31,75-101,864000,75,PARIS 01,75001,10 QUAI DE LA MEGISSERIE,Appartement,3,66,48.8581211946269,2.34486128333883,13091,4561,504153.09,69120.0,2069,1.73
31,75-101,507500,75,PARIS 01,75001,198 RUE SAINT-HONORE,Appartement,2,40,48.8627185512007,2.3379078628621,12688,2679,296131.59,40600.0,1254,1.78
31,75-101,895600,75,PARIS 01,75001,11 RUE DU BOULOI,Appartement,3,66,48.8637512558348,2.34054003110959,13570,4727,522592.02,71648.0,2069,1.67
31,75-101,915000,75,PARIS 01,75001,64 RUE JEAN JACQUES ROUSSEAU,Appartement,3,109,48.86404340257,2.34402150613241,8394,4830,533912.13,73200.0,3416,2.69
31,75-101,300000,75,PARIS 01,75001,31 RUE DE RICHELIEU,Appartement,2,20,48.8652140378484,2.33645305016329,15000,1584,175053.16,24000.0,627,1.51
31,75-101,450000,75,PARIS 01,75001,20 RUE DU LOUVRE,Appartement,2,45,48.8614709913401,2.34138144226698,10000,2375,262579.73,36000.0,1410,2.26
31,75-101,540000,75,PARIS 01,75001,28B RUE DE RICHELIEU,Appartement,2,27,48.8653048008789,2.33686019648511,20000,2850,315095.68,43200.0,846,1.13
31,75-101,410000,75,PARIS 01,75001,10 RUE SAINT FLORENTIN,Appartement,2,36,48.8676030421163,2.32462926800287,11389,2164,239239.31,32800.0,1128,1.99
